City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Narok,-1.08,35.86,54.07,94,46,4.61
Puerto Ayora,-0.74,-90.35,75.0,90,71,1.99
Nanortalik,60.14,-45.24,45.27,96,99,5.01
Bambous Virieux,-20.34,57.76,72.73,78,75,12.75
Necochea,-38.55,-58.74,48.0,88,100,3.0
Zyryanovsk,49.74,84.27,64.72,65,1,1.54
Alice Springs,-23.7,133.88,54.28,41,72,12.75
Carnarvon,-24.87,113.63,75.22,35,0,8.88
Ilulissat,69.22,-51.1,37.4,86,100,3.36
Nioro,13.35,-15.75,77.2,51,100,6.69
Mount Gambier,-37.83,140.77,55.4,62,90,13.87
Raglan,-37.8,174.88,59.67,79,4,5.01
Sitka,57.05,-135.33,50.0,81,75,8.05
San Cristobal,7.77,-72.22,84.2,66,40,2.24
Zaraza,9.35,-65.32,75.58,82,0,5.88
Kvarkeno,52.08,59.73,57.38,75,46,14.63
Kumul,42.8,93.45,87.71,13,0,2.71
Jamestown,42.1,-79.24,70.3,73,90,5.82
Wajima,37.4,136.9,73.4,64,75,8.05
Edd,13.93,41.69,84.58,48,95,1.81
Sinnamary,5.38,-52.95,78.04,88,100,6.96
Río Gallegos,-51.62,-69.22,37.4,74,91,10.29
Bonito,-21.12,-56.48,55.96,97,86,1.43
Juiz de Fora,-21.76,-43.35,56.35,93,5,2.62
Noumea,-22.28,166.46,80.22,65,75,10.29
Pontes e Lacerda,-15.23,-59.34,62.24,83,22,3.76
Khāsh,28.22,61.22,76.44,16,0,4.76
Tam Ky,15.57,108.48,87.8,66,20,1.12
Altagracia de Orituco,9.86,-66.38,71.24,88,19,5.35
Shalinskoye,55.72,93.76,52.39,79,100,14.41
Talcahuano,-36.72,-73.12,51.8,93,90,6.93
Alyangula,-13.85,136.42,78.8,54,0,10.29
Saint Paul Harbor,57.79,-152.41,50.0,81,90,12.75
Le Port,-20.94,55.29,60.37,73,30,8.05
Geraldton,-28.77,114.6,62.6,63,90,14.99
Baruun-Urt,46.68,113.28,53.51,50,100,23.31
Tagusao,9.19,117.81,86.86,64,56,1.95
Hamilton,39.18,-84.53,79.79,47,1,10.29
Russkiy Aktash,55.04,52.12,46.4,93,41,8.95
Vitim,59.45,112.56,73.29,30,18,2.24
Tal'menka,53.82,83.57,53.6,71,81,8.95
Najrān,17.49,44.13,75.2,57,20,4.5
Cayenne,4.93,-52.33,77.0,100,75,6.24
Lebu,-37.62,-73.65,49.12,84,21,8.66
Gunjur,13.2,-16.73,75.2,83,100,4.7
Aykhal,66.0,111.5,59.0,44,75,4.47
Xam Nua,20.42,104.04,81.57,54,4,5.37
Dikson,73.51,80.55,30.22,98,90,6.98
Marawi,8.0,124.29,82.99,78,96,4.0
Horta,38.53,-28.63,62.2,82,87,23.4
Bjørnevatn,69.67,29.98,44.6,87,100,6.93
Tutóia,-2.76,-42.27,79.29,86,18,9.35
Iqaluit,63.75,-68.51,37.2,69,75,8.05
Medicine Hat,50.05,-110.67,73.53,23,75,14.99
Grand Baie,-20.02,57.58,72.0,81,13,5.01
Pacific Grove,36.62,-121.92,71.28,47,1,5.82
Brainerd,46.36,-94.2,77.54,39,1,3.36
Raymond,43.9,-70.47,55.22,80,100,3.02
Rocha,-34.48,-54.33,44.67,87,0,3.67
Wawa,9.9,4.42,77.68,86,100,8.99
Port Hardy,50.7,-127.42,55.4,71,40,5.82
Lavrentiya,65.58,-171.0,43.12,67,0,6.55
Daru,-9.08,143.21,79.92,79,90,15.12
Mogok,22.92,96.5,72.14,96,80,2.84
Banfora,10.63,-4.77,80.17,67,100,4.54
Manzhouli,49.6,117.43,48.18,78,100,24.74
Torbay,47.67,-52.73,48.16,100,90,25.28
Margate,51.38,1.39,53.73,89,95,5.21
Arman',59.7,150.17,49.55,59,76,7.14
Port Shepstone,-30.74,30.45,67.01,37,0,5.66
Paamiut,61.99,-49.67,43.65,97,100,24.85
Manado,1.49,124.85,84.2,79,40,3.36
Ponta do Sol,32.67,-17.1,62.6,68,75,4.7
Ruska Poliana,49.42,31.92,44.02,91,0,5.3
Forio,40.73,13.86,64.29,86,0,3.0
Meulaboh,4.14,96.13,82.06,80,66,0.98
Keflavik,64.0,-22.56,45.27,81,90,13.87
Natchez,31.56,-91.4,81.48,78,1,3.36
Murray Bridge,-35.12,139.27,53.02,83,100,1.99
Rabo de Peixe,37.8,-25.58,62.6,88,75,16.11
Manama,26.22,50.58,89.6,66,5,4.7
Bandarbeyla,9.49,50.81,82.06,72,86,22.17
Bundaberg,-24.85,152.35,66.85,31,0,12.75
Waipawa,-41.41,175.52,57.47,76,92,16.11
Bāglung,28.27,83.59,77.54,40,0,1.32
Cidreira,-30.18,-50.21,55.9,85,90,8.16
Vila Franca do Campo,37.72,-25.43,62.6,88,75,16.11
Ibrā’,22.69,58.53,87.91,28,0,0.98
Hobyo,5.35,48.53,81.54,70,41,18.77
Morondava,-20.28,44.28,70.43,61,0,12.59
Saint George,37.1,-113.58,92.52,13,1,12.75
Lyuban',52.8,28.0,42.01,96,1,7.99
Lázaro Cárdenas,17.96,-102.2,75.52,86,5,7.61
Antakya,36.21,36.16,68.0,72,75,1.12
Tamworth,52.63,-1.7,60.87,51,100,8.05
Bodden Town,19.28,-81.25,83.64,74,20,12.75
Burns Lake,54.23,-125.75,52.81,43,73,14.43
Abonnema,4.71,6.79,77.05,89,100,3.4
Flinders,-34.58,150.86,64.0,48,4,7.0
New Norfolk,-42.78,147.06,46.71,63,47,1.99
Plettenberg Bay,-34.05,23.37,58.89,84,100,6.35
Port Alfred,-33.59,26.89,61.0,92,100,5.01
Lorengau,-2.02,147.27,86.5,66,6,5.84
Griffith,41.53,-87.42,86.86,51,1,11.16
Markova,48.68,24.41,45.0,92,100,6.29
Virginia Beach,36.85,-75.98,74.62,60,75,9.17
Charlestown,-32.95,151.67,63.28,55,0,5.01
Pinotepa de Don Luis,16.42,-97.92,72.27,89,100,1.99
