City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Ilembula,-8.9,34.58,59.59,61,43,3.24
Caledonia,42.81,-87.92,34.97,80,1,3.18
Lintangan,7.22,121.95,86,66,40,6.93
Balogo,10.89,124.71,84.97,54,54,1.25
Maitum,6.04,124.5,95,39,20,9.17
Conceição do Rio Verde,-21.88,-45.09,61.59,71,3,2.39
Laval,45.57,-73.69,38.61,76,5,4.7
Tarumã,-22.75,-50.58,67.19,67,11,1.14
Sc?ri?oara,44,24.57,37.31,60,40,2.24
Sigiriya,7.95,80.74,82.02,68,1,2.3
Anáhuac,27.23,-100.15,70.7,70,81,12.26
Stochov,50.15,13.96,38.97,64,0,10.29
Singen,47.76,8.84,38.35,66,0,3.36
C?sis,57.31,25.27,36.5,90,29,4.83
Ananindeua,-1.37,-48.37,77,100,40,4.7
Salinópolis,-0.61,-47.36,81.27,85,73,12.59
Madhipura,25.92,86.78,84.2,14,0,2.59
Zevio,45.37,11.13,48.6,53,0,5.82
Mussomeli,37.58,13.75,48.9,86,24,3.49
Cajibío,2.62,-76.57,61.39,53,100,3.02
Westerlo,51.09,4.92,50.86,50,0,8.05
Cannes,43.55,7.02,48.65,75,24,5.82
Shakhta,59.09,57.65,25,64,68,1.99
Linden,6,-58.3,77,100,40,4.7
Novaya Malykla,54.2,49.95,32.65,85,82,3.89
Decatur,39.84,-88.95,46.53,70,75,5.68
Betanzos,43.28,-8.21,48.61,93,100,3.36
Sousse,35.83,10.64,52.88,87,16,3.36
Baoma,31.49,106.11,59.34,53,95,4.14
Ubá,-21.12,-42.94,69.35,80,76,2.46
Saskylakh,71.92,114.08,17.96,95,83,12.06
Minuri,16.54,121.86,92.35,38,19,1.19
R?mpura,30.25,75.23,81.91,27,0,1.72
R?n?gh?t,23.18,88.58,87.8,74,0,6.93
V?s?vadar,21.38,70.68,83.59,36,11,7.74
Kanigiri,15.4,79.52,82.26,74,90,6.71
Broumov,50.59,16.33,43.47,50,0,7
Buchrain,47.09,8.35,37.45,53,0,1.12
Miepherkeim,38.14,41.01,51.8,93,75,3.36
Rolleston,-43.58,172.38,65.16,72,100,14.99
La Magdalena Tlaltelulco,19.27,-98.19,64.2,29,34,3.85
Pangani,-5.43,38.97,78.24,84,96,5.06
Nucet,44.78,25.55,40.69,38,0,5.82
General José Eduvigis Díaz,-27.17,-58.42,69.21,88,90,6.93
Romitan,39.93,64.38,59,77,78,9.17
West Kilbride,55.68,-4.85,50.49,87,40,23.04
Phan Thong,13.47,101.1,91.89,59,20,11.41
Texarkana,33.43,-94.05,61.45,88,1,3.36
Tsarychanka,48.94,34.48,35.29,78,0,6.42
Duvan,55.7,57.9,30.27,90,100,8.43
Depok,-6.4,106.82,89.15,70,20,6.93
Richmond,37.55,-77.46,57.18,67,40,5.82
Dubovskoye,47.41,42.76,36.75,74,1,14.23
Castelo do Piauí,-5.32,-41.55,74.37,84,100,4.29
Catumbela,-12.43,13.55,75.54,86,6,2.06
Oktyabr'skoye,43.06,44.74,43.63,72,100,6.22
Bidh?na,26.8,79.51,86.14,21,14,4.12
San Francisco de Yojoa,15.02,-87.97,74.98,78,83,1.66
Ferndale,42.46,-83.13,38.59,60,1,5.12
Charleston,32.78,-79.93,60.71,88,1,7
Žiežmariai,54.8,24.45,30.38,86,0,4.81
Nagykanizsa,46.45,16.99,35.6,81,1,2.24
Rudnichnyy,59.62,52.47,25.34,94,19,0.69
Villamartín,36.86,-5.64,57.31,82,90,5.82
Giresun Province,40.5,38.5,28.85,47,9,6.13
Cabugao,17.79,120.46,86,66,40,6.93
Sand Springs,36.14,-96.11,57.97,87,40,8.05
La Empalizada,21.31,-97.66,74.08,93,83,6.49
Helden,51.12,7.95,46.38,40,0,11.41
Chalkoutsi,38.33,23.73,48.31,87,90,11.41
Nong Kung Si,16.65,103.3,86,66,20,6.93
Mizhhirya,48.52,23.51,34.97,64,0,3.02
Real,14.66,121.6,89.92,55,20,8.05
Ozoir-la-Ferrière,48.77,2.67,50.72,61,0,6.93
Maloma,15.11,120.06,91.4,52,20,14.99
Pattaya,12.93,100.88,87.8,62,20,11.41
San Antonio,29.42,-98.49,64.38,88,90,5.82
Hobart,-42.88,147.33,55.9,44,75,8.05
Istra,55.92,36.86,27.09,53,9,8.95
D?ne?i,43.98,24.05,39.61,51,0,11.41
Coroieni,47.37,23.77,35.96,51,0,5.82
Santiago de Cuenda,20.6,-100.98,75.04,19,75,3.89
Beeskow,52.17,14.25,41.04,60,0,9.17
Shestakovo,56.49,103.96,39.69,58,0,4.76
Boquerón,18.03,-67.17,76.78,75,15,1.01
Cestas,44.74,-0.68,52.2,81,97,8.05
Tomball,30.1,-95.62,66.11,82,90,1.97
